vocative_yes,ssml,,<speak>Wie kann ich Ihnen sonst noch behilflich sein?</speak>
vocative_yes,text,,Wie kann ich Ihnen sonst noch behilflich sein?
germany_precautions_hamburg,ssml,,"<speak>Die am 22. März beschlossenen Maßnahmen beinhalten unter anderem, dass Kontakte zu anderen Mitmenschen außerhalb der Angehörigen des eigenen Hauses auf ein Minimum reduziert werden sollen. In der Öffentlichkeit sollte mindestens 1,5 Meter Abstand zu anderen Personen gehalten werden. Unter anderem bleiben der Weg zur Arbeit, Einkäufe, Arztbesuche, erforderliche Termine und Bewegung an der frischen Luft weiter möglich. Die Maßnahmen gelten zunächst für 2 Wochen und deutschlandweit. Weitere Informationen darüber sowie Informationen, die Hamburg betreffen, entnehmen Sie bitte den eingeblendeten Links.</speak>"
germany_precautions_hamburg,html,,"<p>Die am 22. März beschlossenen Maßnahmen beinhalten unter anderem, dass Kontakte zu anderen Mitmenschen außerhalb der Angehörigen des eigenen Hauses auf ein Minimum reduziert werden sollen. In der Öffentlichkeit sollte mindestens 1,5 Meter Abstand zu anderen Personen gehalten werden. Unter anderem bleiben der Weg zur Arbeit, Einkäufe, Arztbesuche, erforderliche Termine und Bewegung an der frischen Luft weiter möglich. Die Maßnahmen gelten zunächst für 2 Wochen und deutschlandweit. Weitere Informationen darüber sowie Informationen, die Hamburg betreffen, entnehmen Sie bitte den eingeblendeten Links. <a href='https://www.bundesregierung.de/breg-de/themen/coronavirus/besprechung-der-bundeskanzlerin-mit-den-regierungschefinnen-und-regierungschefs-der-laender-1733248' target='_blank'>(1)</a> </p>"
germany_precautions_hamburg,links,Die Bundesregierung,https://www.bundesregierung.de/breg-de/themen/coronavirus/besprechung-der-bundeskanzlerin-mit-den-regierungschefinnen-und-regierungschefs-der-laender-1733248
germany_precautions_hamburg,links,Hamburg Stadtportal,https://www.hamburg.de/coronavirus/
germany_precautions_hamburg,hints,Lebensmittelengpässe,Lebensmittelengpässe Deutschland
germany_precautions_hamburg,hints,Desinfektionsmittel,Desinfektionsmittel
germany_precautions_hamburg,hints,Arbeitsrecht,Arbeitsrecht
features_time,ssml,,<speak>Es ist  13:28.</speak>
features_time,text,,Es ist  13:28.
cc_newspaper,ssml,,"<speak>Ich lese täglich die Zeitung, um mich auf dem neusten Stand zu halten.</speak>"
cc_newspaper,text,,"Ich lese täglich die Zeitung, um mich auf dem neusten Stand zu halten."
