Answer ID,cevap,Attachment Ids,NodeID,Node Title,Parent ID,ParentTitle
1_node_36_1561725264590__1_1,"Girdiğiniz e-posta adresi geçersiz bir biçimde. Maalesef, size e-postayla belge gönderemiyorum. :(",,node_36_1561725264590,,node_34_1561725264590,DE_agent_email_invalid
2_node_35_1561725264590__1_1,$ bad_email_response,,node_35_1561725264590,,node_34_1561725264590,DE_agent_email_invalid
3_node_48_1561725929320_DE_agent_email_save_message_ask_1_1,Çok teşekkürler. Lütfen endişenizi kısaca açıklayın:,,node_48_1561725929320,DE_agent_email_save_message_ask,node_10_1561725264589,DE_agent_email_ask_followup
4_node_11_1561725264589_DE_agent_email_cancel_1_1,Sorun değil.,,node_11_1561725264589,DE_agent_email_cancel,node_10_1561725264589,DE_agent_email_ask_followup
5_response_11_1585444713891__1_1,"<speak> Aynı hanehalkının üyesi olmadıkça ikiden fazla kişi birlikte dışarıda olmayabilir. Bu yüzden bir arkadaşınızla yürüyüşe çıkın, evet, üç değil. Koronavirüs yayılımını azaltmak için mümkün olan her yerde diğerlerinden en az 1,5 metre mesafe bırakın. Dışarıda hala izin verilir: koşu turları, kendi çocuklarınızla dolaşmak veya yürüyüşe çıkmak. Böylece temiz havada spor yapın ve egzersiz yapın - ancak bireysel olarak. Çocukların çalışma veya acil bakım yollarına izin verilir, alışveriş yapılır, doktora ziyaretler, gerekli randevular ve sınavlarda, başkalarına yardım edilir. Sadece evinize yiyecek gönderebilir veya alıp evde yiyebilirsiniz. Kuaförler, güzellik salonları, masaj uygulamaları ve dövme stüdyoları kapalı kalmalıdır.",,response_11_1585444713891,,node_9_1585444713891,DE_quarantine_when_who_howlong_followup
6_response_11_1585444713891__2_1,"<p> Aynı hanehalkının üyesi olmadıkça ikiden fazla kişi birlikte dışarıda olmayabilir. Üç arkadaşımızla değil, bir arkadaşımızla yürüyüşe çıkın. Koronavirüs yayılımını azaltmak için mümkün olan her yerde diğerlerinden en az 1,5 metre mesafe bırakın. Dışarıda hala izin verilir: koşu turları, kendi çocuklarınızla dolaşmak veya yürüyüşe çıkmak. Böylece temiz havada spor yapın ve egzersiz yapın - ancak bireysel olarak. Çocukların çalışma veya acil bakım yollarına izin verilir, alışveriş yapılır, doktora ziyaretler, gerekli randevular ve sınavlarda, başkalarına yardım edilir. Sadece evinize yiyecek gönderebilir veya alıp evde yiyebilirsiniz. Kuaförler, güzellik salonları, masaj uygulamaları ve dövme stüdyoları kapalı kalmalıdır. Daha fazla bilgiyi Federal Hükümetin web sitesinde bulabilirsiniz. <a href='https://www.zdf.de/nachrichten/politik/coronavirus-ausgangsbeschraenken-verschaerfung-ueberblick-100.html' target='_blank'> (1) </a> </p>",,response_11_1585444713891,,node_9_1585444713891,DE_quarantine_when_who_howlong_followup
7_response_11_1585444713891__3_1,,1_response_11_1585444713891_,response_11_1585444713891,,node_9_1585444713891,DE_quarantine_when_who_howlong_followup
8_response_11_1585444713891__4_1,,2_response_11_1585444713891_,response_11_1585444713891,,node_9_1585444713891,DE_quarantine_when_who_howlong_followup
9_response_10_1585444713891__1_1,"<speak> Enfekte oldukları ya da enfekte olma riski bulunduğundan karantinaya alması emredilen herkes evde kalmak ve üçüncü şahıslardan uzak durmak zorundadır. İlgili kişi alışveriş veya köpek yürüyüşü için evden ayrılmamalıdır. Akrabalar, ilgili kişiyi günlük yaşamda, örneğin satın alma yaparak destekleyebilir. </speak>",,response_10_1585444713891,,node_9_1585444713891,DE_quarantine_when_who_howlong_followup
10_response_10_1585444713891__2_1,"<p> Enfekte oldukları ya da enfekte olma riski bulunduğundan karantinaya alması emredilen herkes evde kalmak ve üçüncü şahıslardan uzak durmak zorundadır. İlgili kişi alışveriş veya köpek yürüyüşü için evden ayrılmamalıdır. Akrabalar, ilgili kişiyi günlük yaşamda, örneğin satın alma yaparak destekleyebilir. <a href='https://www.rki.de/SharedDocs/FAQ/NCOV2019/FAQ_Liste.html' target='_blank'> (1) </a> </p>",,response_10_1585444713891,,node_9_1585444713891,DE_quarantine_when_who_howlong_followup
11_response_10_1585444713891__3_1,,3_response_10_1585444713891_,response_10_1585444713891,,node_9_1585444713891,DE_quarantine_when_who_howlong_followup
12_response_4_1584113144215__1_1,<speak> Maalesef aradığın hiçbir şey bulamadım. Daha fazla bilgi için Federal Sağlık Bakanlığı'nın veya Robert Koch Enstitüsü'nün web sitesine bakın. </speak>,,response_4_1584113144215,,node_5_1584113093000,validate_code_200
13_response_4_1584113144215__2_1,Ne yazık ki aradığınız hiçbir şey bulamadım. Daha fazla bilgi için Federal Sağlık Bakanlığı'nın veya Robert Koch Enstitüsü'nün web sitesine bakınız.,,response_4_1584113144215,,node_5_1584113093000,validate_code_200
14_response_4_1584113144215__3_1,,4_response_4_1584113144215_,response_4_1584113144215,,node_5_1584113093000,validate_code_200
15_response_6_1584113125391__1_1,<speak> Federal Sağlık Bakanlığı ve Robert Koch Enstitüsü'nün web sitelerini kontrol ettim ve daha fazlasını bulabileceğiniz bir bağlantı buldum. Bunu burada bulacaksınız. </speak>,,response_6_1584113125391,,node_5_1584113093000,validate_code_200
16_response_6_1584113125391__2_1,Federal Sağlık Bakanlığı ve Robert Koch Enstitüsü'nün web sitelerini kontrol ettim ve daha fazlasını bulabileceğiniz bir bağlantı buldum. Bunu görüntülenen bulacaksınız.,,response_6_1584113125391,,node_5_1584113093000,validate_code_200
17_response_6_1584113125391__3_1,"<? $ form_result [""data""]?>",,response_6_1584113125391,,node_5_1584113093000,validate_code_200
18_node_29_1550518168085_DE_bot_fear_1_1,<speak> Bir şeyden korkmayı sevmem. Sakin olmanın ve panik yapmamanın önemli olduğunu düşünüyorum. </speak>,,node_29_1550518168085,DE_bot_fear,node_23_1550516451147,DE_bot_traits
19_node_29_1550518168085_DE_bot_fear_2_1,Bir şeyden korkmaktan hoşlanmam. Sakin olmanın ve panik yapmamanın önemli olduğunu düşünüyorum.,,node_29_1550518168085,DE_bot_fear,node_23_1550516451147,DE_bot_traits
20_node_7_1568200293385_DE_bot_sexual_1_1,<speak> Lütfen düzgün davran. Bu konuyu çok rahatsız edici buluyorum. </speak>,,node_7_1568200293385,DE_bot_sexual,node_23_1550516451147,DE_bot_traits
21_node_7_1568200293385_DE_bot_sexual_2_1,Lütfen düzgün davranın. Bu konuyu çok rahatsız edici buluyorum.,,node_7_1568200293385,DE_bot_sexual,node_23_1550516451147,DE_bot_traits
22_node_28_1550517829347_DE_bot_languages_1_1,"<speak> Sadece Almanca konuşuyorum, ama İngilizce ve Portekizce konuşan meslektaşlarım var. Bağlantıları bulacaksınız. </speak>",,node_28_1550517829347,DE_bot_languages,node_23_1550516451147,DE_bot_traits
23_node_28_1550517829347_DE_bot_languages_2_1,Sadece Almanca konuşuyorum ama İngilizce ve Portekizce bilen meslektaşlarım var. Bunun bağlantıları gösterilir.,,node_28_1550517829347,DE_bot_languages,node_23_1550516451147,DE_bot_traits
24_node_28_1550517829347_DE_bot_languages_3_1,,5_node_28_1550517829347_DE_bot_languages,node_28_1550517829347,DE_bot_languages,node_23_1550516451147,DE_bot_traits
25_node_5_1567515411861_DE_bot_availability_1_1,<speak> Kowit 19 ile ilgili sorularınızı yanıtlamaya yardımcı olmak için yirmi dört yedi çevrimiçiim. </speak>,,node_5_1567515411861,DE_bot_availability,node_23_1550516451147,DE_bot_traits
26_node_5_1567515411861_DE_bot_availability_2_1,Covid-19 ile ilgili sorularınızda size yardımcı olmak için 7/24 çevrimiçiyim.,,node_5_1567515411861,DE_bot_availability,node_23_1550516451147,DE_bot_traits
27_node_4_1568200409493_DE_bot_goal_1_1,"<speak> En büyük dileğim, tüm soruları cevaplayabilmek. </speak>",,node_4_1568200409493,DE_bot_goal,node_23_1550516451147,DE_bot_traits
28_node_4_1568200409493_DE_bot_goal_1_2,<speak> Amacım bana sorduğun her şeye cevap verebilmektir. </speak>,,node_4_1568200409493,DE_bot_goal,node_23_1550516451147,DE_bot_traits
29_node_4_1568200409493_DE_bot_goal_2_1,"En büyük dileğim, tüm soruları cevaplayabilmek.",,node_4_1568200409493,DE_bot_goal,node_23_1550516451147,DE_bot_traits
30_node_4_1568200409493_DE_bot_goal_2_2,Amacım bana sorulan her şeye cevap verebilmek.,,node_4_1568200409493,DE_bot_goal,node_23_1550516451147,DE_bot_traits
31_node_33_1550518576570_DE_bot_personality_1_1,"<speak> Kişiliğimin çoğu yakışıklı, sevecen ve güvenen olarak tanımlanacaktır. </speak>",,node_33_1550518576570,DE_bot_personality,node_23_1550516451147,DE_bot_traits
